Date,Alert Name,Asset,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used,Summary,Description
25:July:2026 07:29:13,InstanceDown,CA,192.168.1.226,Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,8 Core,23.53 GB,96.66 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.226",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.226 job:Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.226 job:Stoxkart-XTS] has been down for more than 1 minutes.
25:July:2026 07:32:43,InstanceDown,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,24 Core,64.00 GB,199.40 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.176.158",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS] has been down for more than 1 minutes.
25:July:2026 07:33:09,WindowsServerDiskSpaceUsage,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical 50%,Disk,24 Core,64.00 GB,600.00 GB,D:,272.34 GB,327.66 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.176.158, Drive: D:","Disk usage is above 50%
Used = 54.61%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS volume:D:]"
25:July:2026 07:34:13,InstanceDown,CA,192.168.1.226,Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,8 Core,23.53 GB,96.66 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.1.226",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.226 job:Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.1.226 job:Stoxkart-XTS] has been down for more than 1 minutes.
25:July:2026 07:34:21,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 50%,Disk,24 Core,94.24 GB,449.86 GB,/home,97.30 GB,352.55 GB,"Linux Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk usage is above 50%
Used = 78.37%
Server Details = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
25:July:2026 07:34:23,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Warning 60%,Disk,24 Core,94.24 GB,449.86 GB,/home,179.94 GB,269.91 GB,"LinuxServerRootDiskSpace Usage 60% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 40% left)
  Available = 21.63GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
25:July:2026 07:34:23,LinuxServerRootDiskSpace,CA,192.168.1.172,Stoxkart-RupeeSeed,LAMA,Critical 65%,Disk,24 Core,94.24 GB,449.86 GB,/home,157.45 GB,292.41 GB,"LinuxServerRootDiskSpace Usage 65% - Group: LAMA, Instance: 192.168.1.172, Mountpoint: /home","Disk is almost full (< 35% left)
  Available = 21.63GB 
  ServerDetails = map[Asset:CA company:Stoxkart device:/dev/mapper/centos_stx--rseed-home fstype:xfs group:LAMA instance:192.168.1.172 job:Stoxkart-RupeeSeed mountpoint:/home]"
25:July:2026 07:34:51,WindowsServerDiskSpaceUsage,CA,192.168.1.155,Stoxkart-Odin-Manager-DBServer,LAMA,Critical 50%,Disk,16 Core,64.00 GB,299.98 GB,F:,141.65 GB,158.33 GB,"Windows Server Disk Space Usage >50% - Group: LAMA, Instance: 192.168.1.155, Drive: F:","Disk usage is above 50%
Used = 52.78%
Server Details = map[Asset:CA company:Stoxkart group:LAMA instance:192.168.1.155 job:Stoxkart-Odin-Manager-DBServer volume:F:]"
25:July:2026 07:35:43,InstanceDown,CA,192.168.176.154,Stoxkart-RupeeSeed-DR,LAMA,Critical - Instance Down,Stoxkart,24 Core,78.49 GB,299.85 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.176.154",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.154 job:Stoxkart-RupeeSeed-DR]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.154 job:Stoxkart-RupeeSeed-DR] has been down for more than 1 minutes.
25:July:2026 07:37:43,InstanceDown,CA,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical - Instance Down,Stoxkart,24 Core,64.00 GB,199.40 GB,N/A,N/A,N/A,"Instance Down - Group: LAMA, instance: 192.168.176.158",The instance ServerDetails = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS]  GroupName = map[Asset:CA __name__:up company:Stoxkart group:LAMA instance:192.168.176.158 job:LAMA-Stoxkart-XTS] has been down for more than 1 minutes.
