S.No.,Particulars,Installed Capacity,Utilised capacity,Highest Peak load observed during the quarter,No. of instances and dates when utilisation has gone beyond Severity of installed capacity
31,192.168.1.172,449.86 GB,292.41 GB,65%(Disk),"107- Instances in Jul 2026, 05- Instances in Aug 2026"
32,192.168.1.172,449.86 GB,409.64 GB,91%(Disk),"418- Instances in Jul 2026, 146- Instances in Aug 2026"
33,192.168.1.172,449.86 GB,269.91 GB,60%(Disk),"137- Instances in Jul 2026, 17- Instances in Aug 2026"
34,192.168.1.172,449.86 GB,359.89 GB,80%(Disk),07- Instances in Jul 2026
35,192.168.1.172,N/A,N/A,Critical - Instance Down(Other),"08- Instances in Jul 2026, 07- Instances in Aug 2026"
36,192.168.1.173,299.85 GB,269.21 GB,89%(Disk),"327- Instances in Jul 2026, 48- Instances in Aug 2026"
37,192.168.1.173,299.85 GB,179.91 GB,60%(Disk),08- Instances in Jul 2026
38,192.168.1.173,299.85 GB,194.90 GB,65%(Disk),05- Instances in Jul 2026
39,192.168.1.173,299.85 GB,239.88 GB,80%(Disk),03- Instances in Jul 2026
40,192.168.1.173,31.24 GB,18.75 GB,60%(Memory),19- Instances in Aug 2026
41,192.168.1.173,N/A,N/A,Critical - Instance Down(Other),"08- Instances in Jul 2026, 02- Instances in Aug 2026"
42,192.168.1.174,16 Core,98.00%,98%(CPU),02- Instances in Jul 2026
43,192.168.1.174,199.98 GB,199.98 GB,100%(Disk),"50- Instances in Jul 2026, 84- Instances in Aug 2026"
44,192.168.1.174,199.98 GB,119.99 GB,60%(Disk),"16- Instances in Jul 2026, 02- Instances in Aug 2026"
45,192.168.1.174,199.98 GB,129.99 GB,65%(Disk),"08- Instances in Jul 2026, 02- Instances in Aug 2026"
